Occurrence_Number	Taxon_name	Latitude	Longitude	Paleo_Latitude	Paleo_Longitude	Min_Ma	Max_Ma	Original_Assignment	region	globe
194	Cypridea_piedmonti	44.4517	-103.6503	41.867	-52.0266	123.6	142.4	NAm	NA	Global
195	Cypridea_piedmonti	44.3834	-103.862	41.3775	-52.0265	132.6	142.4	NAm	NA	Global
196	Cypridea_piedmonti	43.3427	-103.5981	40.3214	-52.0909	132.6	142.4	NAm	NA	NA
197	Cypridea_piedmonti	43.3427	-103.5981	40.3214	-52.0909	132.6	142.4	NAm	NA	NA
198	Cypridea_piedmonti	43.3573	-103.6872	40.3495	-52.1696	132.6	142.4	NAm	NA	NA
199	Cypridea_piedmonti	43.3797	-103.6042	40.3584	-52.0857	132.6	142.4	NAm	NA	NA
200	Cypridea_piedmonti	44.2747	-103.3746	41.1934	-51.6075	132.6	142.4	NAm	NA	Global
201	Cypridea_piedmonti	43.3573	-103.6872	40.3495	-52.1696	132.6	142.4	NAm	NA	NA
202	Cypridea_piedmonti	43.3574	-103.6716	40.347	-52.1556	132.6	142.4	NAm	NA	NA
203	Cypridea_piedmonti	43.3574	-103.6716	40.347	-52.1556	132.6	142.4	NAm	NA	NA
204	Cypridea_piedmonti	44.2747	-103.3746	41.1934	-51.6075	132.6	142.4	NAm	NA	Global
205	Cypridea_piedmonti	44.2747	-103.3746	41.1934	-51.6075	132.6	142.4	NAm	NA	Global
206	Cypridea_piedmonti	43.3574	-103.6716	40.347	-52.1556	132.6	142.4	NAm	NA	NA
207	Cypridea_quadrata	43.7987	-107.0654	44.0334	-60.5306	98	124	NAm	NA	Global
208	Cypridea_quadrata	42.7883	-108.7826	43.7094	-65.5561	98	124	NAm	NA	Global
209	Cypridea_quadrata	42.8763	-108.7997	43.7974	-65.5393	98	124	NAm	NA	Global
210	Cypridea_quadrata	42.8761	-108.773	43.792	-65.513	98	124	NAm	NA	Global
211	Cypridea_quadrata	43.1259	-109.6248	44.2034	-66.2506	98	124	NAm	NA	Global
212	Cypridea_quadrata	43.0803	-108.8969	44.0131	-65.5564	98	124	NAm	NA	Global
213	Cypridea_quadrata	42.7931	-111.0481	43.0492	-63.1204	115	124	NAm	NA	NA
214	Cypridea_tilleyi	50.4348	-111.5333	51.2648	-62.7235	103	115	NAm	NA	NA
215	Cypridea_wyomingensis	34.0579	-93.6919	31.5003	-53.5215	100.5	113	NAm	NA	NA
216	Cypridea_wyomingensis	34.8986	-76.3667	28.8873	-37.2521	100.5	113	NAm	NA	NA
217	Cypridea_wyomingensis	34.7306	-76.575	28.7619	-37.4852	100.5	113	NAm	NA	NA
218	Cypridea_wyomingensis	36.3028	-75.925	30.1739	-36.4855	100.5	113	NAm	NA	NA
219	Cypridea_wyomingensis	35.9986	-75.3333	29.7699	-36.0272	100.5	113	NAm	NA	NA
220	Cypridea_wyomingensis	35.8833	-75.6708	29.7184	-36.3643	100.5	113	NAm	NA	NA
221	Cypridea_wyomingensis	35.8639	-75.925	29.7463	-36.6002	100.5	113	NAm	NA	NA
222	Cypridea_wyomingensis	35.7033	-75.5983	29.5297	-36.3445	100.5	113	NAm	NA	NA
223	Cypridea_wyomingensis	35.3069	-75.8292	29.186	-36.6568	100.5	113	NAm	NA	NA
224	Cypridea_wyomingensis	53.8696	-113.0667	54.8116	-62.1873	103	115	NAm	NA	Global
225	Cypridea_wyomingensis	42.5542	-110.8076	43.2375	-68.3987	105	110	NAm	NA	Global
226	Cypridea_wyomingensis	43.6088	-111.1461	44.321	-68.4094	105	110	NAm	NA	Global
